dataset,cell_type,method,seeds,abundance,mean_f1,sd_f1,mean_recall,mean_majority_retention,mean_high_purity_recovery
D11,Plasma,GARQ,3,0.0012459765341086,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.6666666666666666,0.6666666666666666
D11,Plasma,KMeans,3,0.0012459765341086,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.3333333333333333,0.3333333333333333
D11,Plasma,MetaQ,3,0.0012459765341086,0.9588888888888888,0.041677776296691275,0.9722222222222222,0.8333333333333334,0.8333333333333334
D11,Plasma,SEACells,3,0.0012459765341086,0.9066666666666666,0.09237604307034009,0.8888888888888888,0.8333333333333334,0.8333333333333334
D11,gdT,GARQ,3,0.0148478870314609,0.665082442013449,0.06373596629080579,0.6993006993006993,0.19202279202279202,0.04786324786324783
D11,gdT,KMeans,3,0.0148478870314609,0.7686486985648653,0.03362934690621736,0.7832167832167832,0.28205128205128205,0.20512820512820507
D11,gdT,MetaQ,3,0.0148478870314609,0.7106671209353911,0.03436533249477948,0.6993006993006993,0.1934389140271493,0.13216440422322773
D11,gdT,SEACells,3,0.0148478870314609,0.7237329614590596,0.01198393460589476,0.7808857808857809,0.290045766590389,0.12334096109839814
D17,Mast Cells,GARQ,3,0.0045840302298209,0.0,0.0,0.0,0.0,0.0
D17,Mast Cells,KMeans,3,0.0045840302298209,0.0,0.0,0.0,0.0,0.0
D17,Mast Cells,MetaQ,3,0.0045840302298209,0.34493004966829616,0.007467225203932437,0.2297297297297297,0.038024691358024665,0.025679012345679
D17,Mast Cells,SEACells,3,0.0045840302298209,0.08650694732954804,0.07636857261464326,0.04954954954954951,0.0072463768115942,0.0
D18,DC.Myeloid,GARQ,3,0.0010973076772347,0.0,0.0,0.0,0.0,0.0
D18,DC.Myeloid,KMeans,3,0.0010973076772347,0.2222222222222222,0.3849001794597505,0.32142857142857145,0.16666666666666666,0.0
D18,DC.Myeloid,MetaQ,3,0.0010973076772347,0.0,0.0,0.0,0.0,0.0
D18,DC.Myeloid,SEACells,3,0.0010973076772347,0.6398946115927248,0.12136245362898598,0.7023809523809524,0.2222222222222222,0.1111111111111111
D18,Platelets,GARQ,3,0.0024689422737782,0.7939352459102081,0.02628204347415505,0.7407407407407408,0.06425070028011202,0.06425070028011202
D18,Platelets,KMeans,3,0.0024689422737782,0.841771915456126,0.005249549126023171,0.746031746031746,0.07965686274509803,0.07965686274509803
D18,Platelets,MetaQ,3,0.0024689422737782,0.7906926406926407,0.06659037350374862,0.671957671957672,0.0640522875816993,0.0640522875816993
D18,Platelets,SEACells,3,0.0024689422737782,0.7754985754985754,0.025373725445256234,0.746031746031746,0.2685736079328756,0.20408085430968723
D18,T.DoubleNegative,GARQ,3,0.0005094642787161,0.0,0.0,0.0,0.0,0.0
D18,T.DoubleNegative,KMeans,3,0.0005094642787161,0.0,0.0,0.0,0.0,0.0
D18,T.DoubleNegative,MetaQ,3,0.0005094642787161,0.0,0.0,0.0,0.0,0.0
D18,T.DoubleNegative,SEACells,3,0.0005094642787161,0.0,0.0,0.0,0.0,0.0
D5,Treg,GARQ,3,0.0016524828554903,0.0,0.0,0.0,0.0,0.0
D5,Treg,KMeans,3,0.0016524828554903,0.4533654489495517,0.3926268169126054,0.5666666666666668,0.27777777777777773,0.0
D5,Treg,MetaQ,3,0.0016524828554903,0.0,0.0,0.0,0.0,0.0
D5,Treg,SEACells,3,0.0016524828554903,0.36507936507936506,0.3378380421236946,0.43333333333333335,0.1111111111111111,0.0
D5,cDC2,GARQ,3,0.0152028422705114,0.857516339869281,0.01064917081559903,0.8242753623188405,0.240110079119367,0.19478844169246642
D5,cDC2,KMeans,3,0.0152028422705114,0.8795740745044954,0.0051613840079515775,0.875,0.20678210678210673,0.18297258297258293
D5,cDC2,MetaQ,3,0.0152028422705114,0.7694911553427172,0.12325961895133128,0.7028985507246377,0.18064182194616973,0.1661490683229813
D5,cDC2,SEACells,3,0.0152028422705114,0.8533023090652857,0.039796331229921614,0.8387681159420289,0.2328282828282828,0.16755050505050503
